"ProbeID" "X" "Y" "Z" "hemi" "rgbx" "rgby" "rgbz" "moda" "ROINb" "ROIlabel" "SumR2_ADNI1" "SumR2_ADNI2GO3" "SumR2_AIBL" "SumR2_UKB" "SumR2_AVERAGE"
"LogJacs_10_1110" 147.788559 105.91153 109.538757 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 402.913726511034 419.110632626355 482.14637329368 373.54250994138 419.428310593112
"LogJacs_10_1111" 128.371552 105.120522 108.807755 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 358.948271553397 325.857239506073 476.801909647027 240.381108064253 350.497132192688
"LogJacs_10_1112" 147.888565 106.553535 108.868744 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 386.492017557689 426.063675336997 446.149347277139 372.215987494415 407.73025691656
"LogJacs_10_1113" 128.104553 106.172523 108.81076 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 313.060179968043 268.845970069367 388.425320094684 237.160240361238 301.872927623333
"LogJacs_10_1114" 147.894562 107.593529 109.288757 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 389.051711600441 415.604926569801 410.424700493355 374.962036269358 397.510843733239
"LogJacs_10_1115" 147.828552 107.583534 110.144745 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 404.945860246476 420.895714708071 462.963827229261 377.080313091328 416.471428818784
"LogJacs_10_1116" 127.906555 107.260529 108.872757 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 364.359027220987 344.539221353366 434.288680065075 322.559852007299 366.436695161682
"LogJacs_10_1117" 127.88356 108.229523 108.673752 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 424.768434793215 438.800138051591 480.909058904573 409.14708853817 438.406180071887
"LogJacs_10_1118" 147.892563 108.595535 109.660751 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 412.262489975119 400.813061529751 391.182783940395 396.72791228964 400.246561933726
"LogJacs_10_1119" 147.817566 108.17453 110.475754 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 412.831059225742 422.87481238549 467.615479877818 394.293705344914 424.403764208491
"LogJacs_10_112" 137.565536 108.942535 97.899765 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 622.407225549871 568.839339417188 798.928572957454 510.888817682904 625.265988901854
